# Obs_X , Obs_Y , Obs_Z , UV_X , UV_Y , UV_Z , Vmag , detID , eclipticLat , obsCode , solarElong , timeUTC , trkID
1.002860979139262 , -0.05667211988855266 , 2.477148832424221e-05 , 0.9605164995852836 , -0.13960093167326904 , -0.24066498270498116 , 18.7 , LGJBoJ010000DGUg010000A0u , -0.2430509124805693 , 703 , 2.88341514809182 , 2458746.78889 , 00000ED9zJ
1.0028570145749038 , -0.056765793420478904 , 2.526126245410024e-05 , 0.9605150065481171 , -0.13957919948826497 , -0.24068354589810625 , 18.6 , LGJBoJ010000DGUg010000A0t , -0.2430700378457501 , 703 , 2.88343516177091 , 2458746.78348 , 00000ED9zJ
1.0028530002348464 , -0.05685945969648137 , 2.5748198078490792e-05 , 0.960514456987174 , -0.13955253495356335 , -0.24070120046785962 , 18.6 , LGJBoJ010000DGUg010000A0s , -0.24308822715475062 , 703 , 2.8834577255209544 , 2458746.77807 , 00000ED9zJ
0.9821342512732262 , -0.22275872341174732 , 1.935506123618938e-05 , 0.9580782507517323 , -0.10200547299786933 , -0.2677329806261862 , 18.32 , LG9HBB0J0000DG3i010000004 , -0.2710393426358145 , T08 , 2.846944844392023 , 2458736.987578 , 00000ECI1k
0.9820811660134591 , -0.22301601867685283 , 2.08788090728142e-05 , 0.9580735347743469 , -0.10194466682227708 , -0.26777301371027523 , 18.49 , LG9HBB0J0000DG3i010000003 , -0.27108089281724407 , T08 , 2.8467801895284204 , 2458736.972389 , 00000ECI1k
0.9820928797930535 , -0.222959421956847 , 2.0542348063102965e-05 , 0.9580745654363674 , -0.10195697180621603 , -0.26776464098910113 , 18.5 , LG9HBB0J0000DG3i010000002 , -0.2710722027629998 , T08 , 2.8468155948839393 , 2458736.97573 , 00000ECI1k
0.9820632939088398 , -0.22310217617459235 , 2.1391827842598616e-05 , 0.9580731662105022 , -0.10191973654693703 , -0.2677838223074472 , 18.67 , LG9HBB0J0000DG3i010000001 , -0.2710921111002402 , T08 , 2.8467255690278988 , 2458736.967303 , 00000ECI1k
0.9557452987428557 , -0.32234339732864004 , 2.7101043953997438e-05 , 0.9564315953713325 , -0.08000260129526385 , -0.2807813867788228 , 19.18 , LG3KOdBP0000DFi601000000g , -0.2846081504978885 , T05 , 2.7702329411070443 , 2458730.949127 , 00000EBduA
0.9556891187754667 , -0.32251882267624193 , 2.81428462886662e-05 , 0.9564301755553835 , -0.07996667559990078 , -0.2807964566738664 , 18.63 , LG3KOdBP0000DFi601000000f , -0.2846238520744873 , T05 , 2.770081103634732 , 2458730.938473 , 00000EBduA
0.9556605337032148 , -0.32260781603503313 , 2.8664621070605797e-05 , 0.9564277704963132 , -0.07994221958393953 , -0.2808116118529376 , 19.0 , LG3KOdBP0000DFi601000000e , -0.28463964258268926 , T05 , 2.769994156278863 , 2458730.933067 , 00000EBduA
