# isNEO , objectID , objectType , orbit_AP , orbit_LAN , orbit_TP , orbit_e , orbit_i , orbit_q
True , K10A00003C , None , 137.3364919 , 281.2543768 , 2458458.0288714 , 0.357559665 , 23.9636811 , 1.106664123
False , K10A00010M , None , 65.8050406 , 79.869388 , 2455355.2193528 , 0.139625048 , 7.5679916 , 2.549371364
False , K10A00004L , None , 277.6292949 , 121.5527351 , 2458871.1410337 , 0.203082169 , 2.6063215 , 1.826367323
True , K10A00003D , None , 209.7049114 , 277.7166791 , 2458927.9065967 , 0.632785415 , 4.488962 , 1.084056124
False , K10A00005D , None , 302.4396606 , 77.5523568 , 2454940.0537102 , 0.141648753 , 6.3086356 , 2.286663778
False , K10A00007O , None , 98.3089265 , 117.7290037 , 2458448.2926171 , 0.059291962 , 24.6221375 , 1.83608793
False , K10A00004R , None , 345.2618664 , 281.6941996 , 2458622.1223813 , 0.04344115 , 17.9998588 , 1.852452962
False , K10A00000V , None , 60.1465304 , 89.4001203 , 2459368.6331256 , 0.17859791 , 27.6983858 , 2.530710609
False , K10A00008K , None , 169.6282806 , 305.3015574 , 2459371.1419285 , 0.175835696 , 16.3045586 , 2.614848403
False , K10A00001C , None , 289.5903643 , 115.4214738 , 2455051.2496228 , 0.215578524 , 4.8050037 , 2.149714242
False , K10A00006T , None , 230.5307013 , 272.1825922 , 2459063.1294005 , 0.257350679 , 23.0032818 , 1.685605584
False , K10A00009P , None , 210.4435901 , 296.3566795 , 2458477.7254931 , 0.11597849 , 11.7932534 , 2.35398896
False , K10A00010W , None , 266.8196501 , 77.4915858 , 2454697.209996 , 0.130261606 , 8.0797479 , 2.374287237
False , K10A00000C , None , 113.6565106 , 308.0068158 , 2458131.7067416 , 0.381104155 , 29.1005073 , 1.607603005
